Vendor	Batch	Plate_Map_Name	Assay_Plate_Barcode	Modality	spinning-disc	Binning	Magnification	aperture	dry-immersion	Number_of_channels	Images_per_well	z_plane	BF_Zplanes	Anomaly
Nikon	Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117063b	Widefield	NA	1	20	0.75	NA	4	9	1		none
PE	Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P1	Confocal	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P2	Confocal	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P3	Confocal	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P4	Confocal	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P1	Confocal	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P2	Confocal	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P3	Confocal	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P4	Confocal	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P1	Widefield	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P2	Widefield	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P3	Widefield	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P4	Widefield	NA	1	20	1	water	5	3	1		none
PE	Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P1	Widefield	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P2	Widefield	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P3	Widefield	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P4	Widefield	NA	1	20	1	water	5	3	3		none
PE	Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP1	Confocal	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP2	Confocal	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP3	Confocal	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP4	Confocal	NA	2	20	1	water	5	3	1		none
PE	Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP1	Confocal	NA	2	20	1	water	5	3	3		none
