Vendor,Batch,Plate_Map_Name,Assay_Plate_Barcode,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Size_MB,Size_MB_std
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_1Plane_P1,Widefield,3,2,1,20,5,1,,,1.0,water,,,2,9.361273220138887,1.4108040446701178
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_1Plane_P2,Widefield,3,2,1,20,5,1,,,1.0,water,,,2,9.244346441493056,1.3545035864597534
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_1Plane_P3,Widefield,3,2,1,20,5,1,,,1.0,water,,,2,9.078627320486111,1.285123915312363
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_1Plane_P4,Widefield,3,2,1,20,5,1,,,1.0,water,,,2,9.285375732465278,1.3568508549011784
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_P1,Widefield,3,2,1,20,5,1,,,1.0,water,,,2,9.352243912760416,1.218635233760007
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_P2,Widefield,3,2,1,20,5,3,,,1.0,water,,,2,9.26465514249132,1.1695304824284756
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_P3,Widefield,3,2,1,20,5,3,,,1.0,water,,,2,9.13974850384198,1.114549893932567
PE,2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_NC_BIN1_P4,Widefield,3,2,1,20,5,3,,,1.0,water,,,2,9.294385866015624,1.171688340664966
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixC1PlaneP1,Confocal,3,2,2,20,5,3,,,1.0,water,,,2,2.5278992638888886,0.4412584035977545
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixC1PlaneP2,Confocal,3,2,2,20,5,3,,,1.0,water,,,2,2.5117242170138887,0.4385164451853092
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixC1PlaneP3,Confocal,3,2,2,20,5,3,,,1.0,water,,,2,2.496831200868056,0.4324858760085421
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixC1PlaneP4,Confocal,3,2,2,20,5,3,,,1.0,water,,,2,2.5391980420138887,0.4416072258404082
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixCP1,Confocal,3,2,2,20,5,3,,,1.0,water,,,2,2.469308975434028,0.3880017512438815
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixCP2,Confocal,3,2,2,20,5,1,,,1.0,water,,,2,2.4569272017361112,0.3843036502076983
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixCP3,Confocal,3,2,2,20,5,1,,,1.0,water,,,2,2.444871485677083,0.3774570655652293
PE,2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixCP4,Confocal,3,2,2,20,5,1,,,1.0,water,,,2,2.477544597699653,0.3899898925761733
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNC1PlaneP1,Widefield,3,2,2,20,5,1,,,1.0,water,,,2,2.5197415142361104,0.3583887823059312
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNC1PlaneP2,Widefield,3,2,2,20,5,1,,,1.0,water,,,2,2.4842230220486106,0.3463563151530108
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNC1PlaneP3,Widefield,3,2,2,20,5,1,,,1.0,water,,,2,2.449872113541667,0.3403115388288124
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNC1PlaneP4,Widefield,3,2,2,20,5,1,,,1.0,water,,,2,2.4888575682291667,0.3486822561498516
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNCP1,Widefield,3,2,2,20,5,1,,,1.0,water,,,2,2.4729005588107635,0.320289208912784
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNCP2,Widefield,3,2,2,20,5,3,,,1.0,water,,,2,2.446370618706597,0.3065002120595112
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNCP3,Widefield,3,2,2,20,5,3,,,1.0,water,,,2,2.420489624045139,0.2984912633386465
PE,2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,JUMP-MOA_compound_platemap,CPBroadPhenixNCP4,Widefield,3,2,2,20,5,3,,,1.0,water,,,2,2.449472850520833,0.3089559138367057
Yokogawa_Japan,2siteSubSample_Scope1_Yokogawa_Japan_20X,JUMP-MOA_compound_platemap,20201021T092317,Confocal,9,2,1,20,5,3,,,0.75,dry,,,2,6.732652407754817,1.4478181011645723
Yokogawa_US,2siteSubSample_Scope1_Yokogawa_US_10X,JUMP-MOA_compound_platemap,BRO0117014_10x,Confocal,4,2,1,10,6,3,,,0.4,dry,,,2,8.005537077542556,0.1249062371479002
Yokogawa_US,2siteSubSample_Scope1_Yokogawa_US_20X_5Ch,JUMP-MOA_compound_platemap,BRO0117033_20xb,Confocal,9,2,1,20,5,3,,,1.0,water,,,2,8.003584569497503,3.321743305600624e-05
Yokogawa_US,2siteSubSample_Scope1_Yokogawa_US_20X_5Ch,JUMP-MOA_compound_platemap,BRO0117056_20x,Confocal,9,2,1,20,5,3,,,1.0,water,,,2,8.003585008849559,4.420621201185514e-05
Yokogawa_US,2siteSubSample_Scope1_Yokogawa_US_20X_5Ch_12Z,JUMP-MOA_compound_platemap,BRO0117056_20xb,Confocal,9,2,1,20,5,3,,,1.0,water,,,2,8.003585008849559,4.420621201185514e-05
Yokogawa_US,2siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO0117059,JUMP-MOA_compound_platemap,BRO0117059_20X,Confocal,9,2,1,20,6,10,,,1.0,water,,,2,7.954438655328631,0.0005830792119728
Yokogawa_US,2siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO01177034,JUMP-MOA_compound_platemap,BRO01177034_20x,Confocal,9,2,1,20,6,10,,,1.0,water,,,2,8.00358409895328,1.3847842933807417e-05
Yokogawa_US,2siteSubSample_Scope1_Yokogawa_US_40X_BRO0117059,JUMP-MOA_compound_platemap,BRO0117059_40x,Confocal,9,2,1,40,6,10,,,1.0,water,,,2,7.971628412838189,0.0802013512075437
MolDev,3siteSubSample_Scope1_MolDev_10X,JUMP-MOA_compound_platemap,Plate2_PCO_6ch_4site_10XPA,Confocal,4,3,1,10,6,10,,,0.45,dry,,,3,52.47633350846427,0.0001442278122525
MolDev,3siteSubSample_Scope1_MolDev_10X,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_4site_10XPA_Crest,Confocal,4,3,1,10,6,12,none,,0.45,dry,,,3,52.47651426861264,0.0001832662332974
MolDev,3siteSubSample_Scope1_MolDev_10X_4siteZ,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_4site_10XPA_Crestz,Confocal,4,3,1,10,6,12,10,,0.45,dry,,,3,52.47663138845419,0.0001418825539195
MolDev,3siteSubSample_Scope1_MolDev_20X_4site,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_4site_20XPA_Crestz,Confocal,4,3,1,20,6,12,10,,0.75,dry,,,3,52.476629335720496,0.0001144565992287
MolDev,3siteSubSample_Scope1_MolDev_20X_9site,JUMP-MOA_compound_platemap,Plate2_PCO_6ch_9site_20XPA,Confocal,9,3,1,20,6,12,10,,0.75,dry,,,3,52.47633408863811,0.0001533901215815
MolDev,3siteSubSample_Scope1_MolDev_20X_9site,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_9site_20XPA_Crest,Confocal,9,3,1,20,6,1,none,,0.75,dry,,,3,52.476410701871146,0.0001143807788651
Nikon,3siteSubSample_Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117061a,Widefield,9,3,1,20,4,1,none,,0.75,dry,,,3,9.872705523809524,27.71715325897701
Nikon,3siteSubSample_Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117062a,Widefield,9,3,1,20,4,1,none,,0.75,dry,,,3,9.874534885786955,27.72811646838089
Nikon,3siteSubSample_Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117063b,Widefield,9,3,1,20,4,1,none,,0.75,dry,,,3,9.873193142857142,27.72026359490857
Yokogawa_Japan,3siteSubSample_Scope1_Yokogawa_Japan_20X,JUMP-MOA_compound_platemap,20201021T092317,Confocal,9,3,1,20,5,1,none,,0.75,dry,,,3,6.732652407754817,1.4478181011645723
Yokogawa_US,3siteSubSample_Scope1_Yokogawa_US_10X,JUMP-MOA_compound_platemap,BRO0117014_10x,Confocal,4,3,1,10,6,1,none,,0.4,dry,,,3,8.005537077542556,0.1249062371479002
Yokogawa_US,3siteSubSample_Scope1_Yokogawa_US_20X_5Ch,JUMP-MOA_compound_platemap,BRO0117033_20xb,Confocal,9,3,1,20,5,1,none,,1.0,water,,,3,8.003584569497503,3.321743305600624e-05
Yokogawa_US,3siteSubSample_Scope1_Yokogawa_US_20X_5Ch,JUMP-MOA_compound_platemap,BRO0117056_20x,Confocal,9,3,1,20,5,1,none,,1.0,water,,,3,8.003585008849559,4.420621201185514e-05
Yokogawa_US,3siteSubSample_Scope1_Yokogawa_US_20X_5Ch_12Z,JUMP-MOA_compound_platemap,BRO0117056_20xb,Confocal,9,3,1,20,5,12,none,,1.0,water,,,3,8.003585008849559,4.420621201185514e-05
Yokogawa_US,3siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO0117059,JUMP-MOA_compound_platemap,BRO0117059_20X,Confocal,9,3,1,20,6,12,none,,1.0,water,,,3,7.954438655328631,0.0005830792119728
Yokogawa_US,3siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO01177034,JUMP-MOA_compound_platemap,BRO01177034_20x,Confocal,9,3,1,20,6,12,none,,1.0,water,,,3,8.00358409895328,1.3847842933807417e-05
Yokogawa_US,3siteSubSample_Scope1_Yokogawa_US_40X_BRO0117059,JUMP-MOA_compound_platemap,BRO0117059_40x,Confocal,9,3,1,40,6,12,none,,1.0,water,,,3,7.971628412838189,0.0802013512075437
MolDev,4siteSubSample_Scope1_MolDev_20X_9site,JUMP-MOA_compound_platemap,Plate2_PCO_6ch_9site_20XPA,Confocal,9,4,1,20,6,12,15,,0.75,dry,,,4,52.47633408863811,0.0001533901215815
MolDev,4siteSubSample_Scope1_MolDev_20X_9site,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_9site_20XPA_Crest,Confocal,9,4,1,20,6,12,15,,0.75,dry,,,4,52.476410701871146,0.0001143807788651
Nikon,4siteSubSample_Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117061a,Widefield,9,4,1,20,4,12,15,,0.75,dry,,,4,9.872705523809524,27.71715325897701
Nikon,4siteSubSample_Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117062a,Widefield,9,4,1,20,4,12,15,,0.75,dry,,,4,9.874534885786955,27.72811646838089
Nikon,4siteSubSample_Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117063b,Widefield,9,4,1,20,4,12,13,,0.75,dry,,,4,9.873193142857142,27.72026359490857
Yokogawa_Japan,4siteSubSample_Scope1_Yokogawa_Japan_20X,JUMP-MOA_compound_platemap,20201021T092317,Confocal,9,4,1,20,5,12,13,,0.75,dry,,,4,6.732652407754817,1.4478181011645723
Yokogawa_US,4siteSubSample_Scope1_Yokogawa_US_20X_5Ch,JUMP-MOA_compound_platemap,BRO0117033_20xb,Confocal,9,4,1,20,5,12,13,,1.0,water,,,4,8.003584569497503,3.321743305600624e-05
Yokogawa_US,4siteSubSample_Scope1_Yokogawa_US_20X_5Ch,JUMP-MOA_compound_platemap,BRO0117056_20x,Confocal,9,4,1,20,5,12,13,,1.0,water,,,4,8.003585008849559,4.420621201185514e-05
Yokogawa_US,4siteSubSample_Scope1_Yokogawa_US_20X_5Ch_12Z,JUMP-MOA_compound_platemap,BRO0117056_20xb,Confocal,9,4,1,20,5,12,15,,1.0,water,,,4,8.003585008849559,4.420621201185514e-05
Yokogawa_US,4siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO0117059,JUMP-MOA_compound_platemap,BRO0117059_20X,Confocal,9,4,1,20,6,12,15,,1.0,water,,,4,7.954438655328631,0.0005830792119728
Yokogawa_US,4siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO01177034,JUMP-MOA_compound_platemap,BRO01177034_20x,Confocal,9,4,1,20,6,12,15,,1.0,water,,,4,8.00358409895328,1.3847842933807417e-05
Yokogawa_US,4siteSubSample_Scope1_Yokogawa_US_40X_BRO0117059,JUMP-MOA_compound_platemap,BRO0117059_40x,Confocal,9,4,1,40,6,12,15,,1.0,water,,,4,7.971628412838189,0.0802013512075437
