Place,Modality,Binning,Magnification,NA,Number Of Channels,Z Planes,Immersion,Sites,Percent Replicating,Percent Matching,Percent Score
1,Confocal,2,20,1.0,5,1,water,3,96.8,100.0,100.0
2,Widefield,1,20,1.0,5,1,water,3,97.2,97.5,99.6
3,Confocal,2,20,1.0,5,3,water,3,100.0,87.5,98.8
4,Widefield,2,20,1.0,5,1,water,3,95.9,97.5,98.6
5,Widefield,2,20,1.0,5,3,water,3,97.2,92.5,98.2
6,Widefield,1,20,1.0,5,3,water,3,97.2,90.0,97.5
7,Confocal,1,20,1.0,5,3,water,3,95.9,92.5,97.2
8,Confocal,1,20,1.0,5,1,water,3,94.5,90.0,95.5
