Place,Modality,Binning,Magnification,NA,Number Of Channels,Z Planes,Immersion,Sites,Percent Replicating,Percent Matching,Percent Score
1,Widefield,1,20,0.75,4,1,dry,9,100.0,100.0,100.0
2,Widefield,1,10,0.45,4,1,dry,1,79.1,85.3,80.7
