Vendor,Batch,Assay_Plate_Barcode,Percent_Replicating_No_Sphere,Percent_Matching_No_Sphere,Percent_Replicating_Sphere,Percent_Matching_Sphere,Plate_Map_Name,Modality,Binning,Magnification,Number_of_channels,Images_per_well,z_plane,BF_Zplanes,Anomaly
MolDev,Scope1_MolDev_10X,Plate2_PCO_6ch_4site_10XPA,37.8,13.953,58.9,23.256,JUMP-MOA_compound_platemap,Confocal,1,10,6,4,1,,none
MolDev,Scope1_MolDev_10X,Plate3_PCO_6ch_4site_10XPA_Crest,47.8,16.279,62.2,18.605,JUMP-MOA_compound_platemap,Confocal,1,10,6,4,1,,none
MolDev,Scope1_MolDev_10X_4siteZ,Plate3_PCO_6ch_4site_10XPA_Crestz,52.2,20.930,65.6,23.256,JUMP-MOA_compound_platemap,Confocal,1,10,6,4,3,,none
MolDev,Scope1_MolDev_20X_4site,Plate3_PCO_6ch_4site_20XPA_Crestz,43.3,16.279,57.8,20.930,JUMP-MOA_compound_platemap,Confocal,1,20,6,4,3,,none
MolDev,Scope1_MolDev_20X_9site,Plate2_PCO_6ch_9site_20XPA,56.7,18.605,67.8,25.581,JUMP-MOA_compound_platemap,Confocal,1,20,6,9,1,,none
MolDev,Scope1_MolDev_20X_9site,Plate3_PCO_6ch_9site_20XPA_Crest,50.0,13.953,61.1,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,6,9,1,,none
MolDev,Scope1_MolDev_20X_Adaptive,Plate3_PCO_6ch_Adaptive_20XPA,20.0,6.977,54.4,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,6,3,1,,none
Nikon,Scope1_Nikon_10X,BR00117060a10x,28.9,13.953,38.9,16.279,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
Nikon,Scope1_Nikon_10X,BR00117061a10x,39.8,14.634,51.1,14.634,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
Nikon,Scope1_Nikon_10X,BR00117062a10x,30.0,11.628,38.9,13.953,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
Nikon,Scope1_Nikon_10X,BR00117063b10x,33.7,14.286,43.8,14.286,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
