,Vendor,Batch,Assay_Plate_Barcode,sphering,Percent_Replicating,value_95_replicating,Plate_Map_Name,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,Anomaly,Unnamed: 0,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Percent_Matching,value_95_matching,cell_count
21,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P2,False,38.88888888888889,0.3925540203531026,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,3,,none,,,,,,,1.0,16.27906976744186,0.3899610290698539,121803
22,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P3,True,50.0,0.1505854767441346,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,3,,none,,,,,,,1.0,16.27906976744186,0.2197465205261023,120897
23,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P3,False,37.77777777777778,0.4759072660771031,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,3,,none,,,,,,,1.0,11.627906976744184,0.4621477045177705,120897
24,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P4,True,52.22222222222223,0.1650826245014005,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.225271739756118,122580
25,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P4,False,32.22222222222222,0.431472855465223,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,20.930232558139537,0.4779922843929752,122580
26,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P1,True,57.77777777777777,0.1689887247631135,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.2391277117043335,118403
27,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P1,False,26.666666666666668,0.5763467767444524,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,4.651162790697675,0.6584215878502362,118403
28,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P2,True,55.55555555555556,0.1542870023974729,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2004834468710414,121765
29,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P2,False,16.666666666666664,0.7049470693807616,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,6.976744186046512,0.8498427453943835,121765
30,PE,1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P3,True,52.22222222222223,0.1522341017413387,JUMP-MOA_compound_platemap,Confocal,3,1.0,1,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2201469539364474,120942
