,assay_plate_barcode,num_features,dropout,n_columns,sphering,percent_replicating,percent_matching
8,Plate3_PCO_6ch_9site_20XPA_Crest,264,"('Cells', 'Cytoplasm')",1461,True,58.88888888888889,16.27906976744186
9,Plate3_PCO_6ch_9site_20XPA_Crest,264,"('Cells', 'Cytoplasm')",1461,False,16.666666666666664,6.976744186046512
10,Plate3_PCO_6ch_9site_20XPA_Crest,273,"('Nuclei', 'Cells')",1454,True,57.77777777777777,16.27906976744186
11,Plate3_PCO_6ch_9site_20XPA_Crest,273,"('Nuclei', 'Cells')",1454,False,36.66666666666666,13.953488372093023
12,Plate3_PCO_6ch_9site_20XPA_Crest,285,"('Nuclei', 'Cytoplasm')",1468,True,55.55555555555556,20.930232558139537
13,Plate3_PCO_6ch_9site_20XPA_Crest,285,"('Nuclei', 'Cytoplasm')",1468,False,16.666666666666664,13.953488372093023
14,Plate3_PCO_6ch_9site_20XPA_Crest,13,"('Nuclei', 'Cells', 'Cytoplasm')",13,True,0.0,0.0
15,Plate3_PCO_6ch_9site_20XPA_Crest,13,"('Nuclei', 'Cells', 'Cytoplasm')",13,False,0.0,0.0
0,Plate2_PCO_6ch_9site_20XPA,527,(),4357,True,62.22222222222222,23.25581395348837
1,Plate2_PCO_6ch_9site_20XPA,527,(),4357,False,15.555555555555555,9.30232558139535
2,Plate2_PCO_6ch_9site_20XPA,406,"('Cytoplasm',)",2916,True,62.22222222222222,25.58139534883721
3,Plate2_PCO_6ch_9site_20XPA,406,"('Cytoplasm',)",2916,False,23.33333333333333,2.3255813953488373
4,Plate2_PCO_6ch_9site_20XPA,372,"('Nuclei',)",2909,True,54.44444444444444,20.930232558139537
5,Plate2_PCO_6ch_9site_20XPA,372,"('Nuclei',)",2909,False,14.444444444444445,2.3255813953488373
6,Plate2_PCO_6ch_9site_20XPA,430,"('Cells',)",2902,True,61.11111111111112,23.25581395348837
7,Plate2_PCO_6ch_9site_20XPA,430,"('Cells',)",2902,False,16.666666666666664,9.30232558139535
8,Plate2_PCO_6ch_9site_20XPA,225,"('Cells', 'Cytoplasm')",1461,True,56.66666666666666,27.906976744186046
9,Plate2_PCO_6ch_9site_20XPA,225,"('Cells', 'Cytoplasm')",1461,False,35.55555555555556,11.627906976744184
10,Plate2_PCO_6ch_9site_20XPA,245,"('Nuclei', 'Cells')",1454,True,58.88888888888889,20.930232558139537
11,Plate2_PCO_6ch_9site_20XPA,245,"('Nuclei', 'Cells')",1454,False,13.333333333333334,2.3255813953488373
12,Plate2_PCO_6ch_9site_20XPA,254,"('Nuclei', 'Cytoplasm')",1468,True,53.333333333333336,23.25581395348837
13,Plate2_PCO_6ch_9site_20XPA,254,"('Nuclei', 'Cytoplasm')",1468,False,18.88888888888889,2.3255813953488373
14,Plate2_PCO_6ch_9site_20XPA,13,"('Nuclei', 'Cells', 'Cytoplasm')",13,True,0.0,0.0
15,Plate2_PCO_6ch_9site_20XPA,13,"('Nuclei', 'Cells', 'Cytoplasm')",13,False,0.0,0.0
0,CPBroadPhenixNC1PlaneP3,470,(),3526,True,58.88888888888889,20.930232558139537
1,CPBroadPhenixNC1PlaneP3,470,(),3526,False,50.0,16.27906976744186
2,CPBroadPhenixNC1PlaneP3,370,"('Cytoplasm',)",2360,True,58.88888888888889,23.25581395348837
3,CPBroadPhenixNC1PlaneP3,370,"('Cytoplasm',)",2360,False,48.888888888888886,16.27906976744186
4,CPBroadPhenixNC1PlaneP3,334,"('Nuclei',)",2352,True,53.333333333333336,18.6046511627907
5,CPBroadPhenixNC1PlaneP3,334,"('Nuclei',)",2352,False,45.55555555555556,16.27906976744186
6,CPBroadPhenixNC1PlaneP3,394,"('Cells',)",2345,True,58.88888888888889,20.930232558139537
7,CPBroadPhenixNC1PlaneP3,394,"('Cells',)",2345,False,47.77777777777778,16.27906976744186
8,CPBroadPhenixNC1PlaneP3,212,"('Cells', 'Cytoplasm')",1181,True,60.0,23.25581395348837
9,CPBroadPhenixNC1PlaneP3,212,"('Cells', 'Cytoplasm')",1181,False,48.888888888888886,16.27906976744186
10,CPBroadPhenixNC1PlaneP3,227,"('Nuclei', 'Cells')",1173,True,53.333333333333336,18.6046511627907
11,CPBroadPhenixNC1PlaneP3,227,"('Nuclei', 'Cells')",1173,False,42.22222222222222,13.953488372093023
